FID,gid,geom,id,ciad,localidade_id,nome,tipo,efetivacao,fir,jurisdicao,latitude_dec,longitude_dec,latitude,longitude,elevacao,elev_uom,tipo_util,cat_sigla,opr,wh,cidade,uf,utc,emenda_n,emenda,airport_pk
airport.4310,4310,MULTIPOINT ((-46.001944444444 -12.999166666667)),7e953f9b-e305-4fc8-a7d1-9904bf24614e,BA0163,SSSR,Fazenda Serrana,AD,2018-07-19,SBBS,CINDACTA 1,-12.99916667,-46.00194444,12 59 57S,046 00 07W,846,M,PRIV,NAC,VFR DIURNA,HJ,São Desidério,BA,-3,29/18,2023-03-23,5666
airport.4235,4235,MULTIPOINT ((-54.31 -17.498611111111)),b111a744-2f54-464d-a79f-664df3fac385,MT0082,SIBP,Fazenda Pampa Alegre,AD,2018-07-19,SBCW,CINDACTA 2,-17.49861111,-54.31,17 29 55S,054 18 36W,613,M,PRIV,NAC,VFR DIURNA,HJ,Itiquira,MT,-4,29/18,2023-03-23,5667
airport.3874,3874,MULTIPOINT ((-57.414444444444 -13.898611111111)),23c8493c-31e8-44ed-9183-459ed331f59d,MT0400,SWSM,Sulina Sementes,AD,2018-07-19,SBAZ,CINDACTA 4,-13.89861111,-57.41444444,13 53 55S,057 24 52W,567,M,PRIV,NAC,VFR DIURNA,HJ,Diamantino,MT,-4,29/18,2023-03-23,5668
airport.4209,4209,MULTIPOINT ((-58.096111111111 -16.079444444444)),4d73328f-56f1-464b-8c08-1f62a42904cc,MT0122,SIRA,Fazenda Iracema,AD,2018-07-19,SBAZ,CINDACTA 4,-16.07944444,-58.09611111,16 04 46S,058 05 46W,163,M,PRIV,NAC,VFR DIURNA,HJ,Cáceres,MT,-4,29/18,2023-03-23,5671
airport.3125,3125,MULTIPOINT ((-53.865555555556 -29.085555555556)),bf7a6b8a-5813-4491-9a1b-646063c4b8dd,RS0064,SIPJ,Aero Parque Tupã,AD,2018-07-19,SBCW,CINDACTA 2,-29.08555556,-53.86555556,29 05 08S,053 51 56W,462,M,PRIV,NAC,VFR DIURNA,HJ,Tupanciretã,RS,-3,29/18,2023-03-23,5672
airport.4797,4797,MULTIPOINT ((-44.384722222222 -8.491666666667)),7d556355-0122-4aa0-a3ee-7c043955c0ba,PI0044,SWOQ,Fazenda Vista Verde,AD,2018-07-19,SBRE,CINDACTA 3,-8.49166667,-44.38472222,08 29 30S,044 23 05W,593,M,PRIV,NAC,VFR DIURNA,HJ,Palmeira do Piauí,PI,-3,29/18,2023-03-23,5676
airport.4309,4309,MULTIPOINT ((-53.829444444444 -22.937777777778)),2cdd3ace-bdcd-4de7-8f32-bc76f6ec2ef0,MS0394,SWSU,Fazenda Santa Umbelina,AD,2018-07-19,SBCW,CINDACTA 2,-22.93777778,-53.82944444,22 56 16S,053 49 46W,345,M,PRIV,NAC,VFR DIURNA,HJ,Naviraí,MS,-4,29/18,2023-03-23,5867
airport.3947,3947,MULTIPOINT ((-57.151111111111 -13.405555555556)),feb02c42-1f6f-4cab-9640-b602948b2d1e,MT0282,SSCW,Fazenda Centro Oeste,AD,2018-07-19,SBAZ,CINDACTA 4,-13.40555556,-57.15111111, 13 24 20S, 057 09 04W,388,M,PRIV,NAC,VFR DIURNA,HJ,Nova Maringá,MT,-4,29/18,2023-03-23,5868
airport.2668,2668,MULTIPOINT ((-55.528888888889 -17.324722222222)),243b005e-be7e-42dd-ae1a-98260181cd0a,MT0476,SWPN,Pesqueiro Pantanal,AD,2019-03-28,SBAZ,CINDACTA 4,-17.32472222,-55.52888889, 17 19 29S, 055 31 44W,136,M,PRIV,NAC,VFR DIURNA,HJ,Santo Antônio do Leverger,MT,-4,13/19,2023-03-23,6048
airport.2667,2667,MULTIPOINT ((-39.429722222222 -16.734166666667)),7fd843c8-0e60-4c4e-b2d7-8c161a74180c,BA0243,SJXZ,Antônio Covre,AD,2019-03-28,SBRE,CINDACTA 3,-16.73416667,-39.42972222, 16 44 03S, 039 25 47W,105,M,PRIV,NAC,VFR DIURNA,HJ,Itabela,BA,-3,13/19,2023-03-23,6049
airport.2669,2669,MULTIPOINT ((-53.459444444444 -14.224444444444)),b7c9f12f-172e-489f-a925-cb375af46365,MT0483,SJVD,Fazenda Santo André IV,AD,2019-03-28,SBBS,CINDACTA 1,-14.22444444,-53.45944444, 14 13 28S, 053 27 34W,425,M,PRIV,NAC,VFR DIURNA,HJ,Paranatinga,MT,-4,13/19,2023-03-23,6050
