FID,fid,gid,geom,rwydirecti,effectived,runway_pk,rwyendid,truebrg,truebrgsrc,magbrg,threshlat,threshlon,codedatum,valgeoaccu,uomgeoaccu,elevaccura,geoidundul,uomdistver,valcrc,verdatum,gradient,tdzelevloc,tdzelev,threshelev,elevtdzacc,tch,vasis,vasisangle,durtax,descrpsnva,meht,uommeht,descrarstd,descrrvr,vfrpattern,txtrmk,uomtch,descrpsnv1,txtrmk_lcl,codeportab,codepsnvas,noboxvasis,elevtdzac1,elevationt,truebearin,slopetdz,apprmarkin,apprmarki1,classlight,precapproc,rwyelement,rmk_light_,rmk_light1,light_desc,gradientrm,bltype,geoiduom,vertaccuom,originalla,originallo,originalsr,originalel,originale1,geoidrefsy,emergencyl,codeintst,codecolour,emenda,emenda_futura
rwydirection.fid--4f6e8018_187234ca30b_-519c,50,50,MULTIPOINT ((0 0)),808,2016-07-21,5561,27,,,,0,0,WGE,,M,,,FT,,,,,,,,,,,,,,FT,,,,,FT,,,,,,,,,,,,,,,,,L33,,A,,,,,,,,,,,,2022-12-29,2023-01-26
rwydirection.fid--4f6e8018_187234ca30b_-519b,51,51,MULTIPOINT ((-38.52154722 -3.77926944)),809,2016-08-18,0,31,284.9,,,-3.77926944,-38.52154722,WGE,,M,,,M,,EGM_96,,,,19.8,,,,0,,,0,FT,,,,,FT,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,2022-12-29,2023-01-26
rwydirection.fid--4f6e8018_187234ca30b_-519a,52,52,MULTIPOINT ((0 0)),810,2016-09-15,615,18,,,,0,0,WGE,,M,,,FT,,,,,,,,,,,,,,FT,,,,,FT,,,,,,,,,,,,,,,,,L12,,A,,,,,,,,,,,,2022-12-29,2023-01-26
rwydirection.fid--4f6e8018_187234ca30b_-5199,53,53,MULTIPOINT ((0 0)),811,2016-09-15,615,36,,,,0,0,WGE,,M,,,FT,,,,,,,,,,,,,,FT,,,,,FT,,,,,,,,,,,,,,,,,L12,,A,,,,,,,,,,,,2022-12-29,2023-01-26
rwydirection.fid--4f6e8018_187234ca30b_-5198,54,54,MULTIPOINT ((-38.54368611 -3.77334444)),812,2016-08-18,0,13,104.9,,,-3.77334444,-38.54368611,WGE,,M,,,M,,EGM_96,,,,24.9,,,PAPI,0,,,0,FT,,,,,FT,,,,BOTH,,,,,,,,,,,,,,,A,,,,,,,,,,,,2022-12-29,2023-01-26
rwydirection.fid--4f6e8018_187234ca30b_-5197,55,55,MULTIPOINT ((-49.308433333 -8.352627778)),813,2017-07-20,5664,08,,,,-8.35262778,-49.30843333,WGE,,M,,,M,,,,,,198.98,,,,,,,,FT,,,,,FT,,,,,,,,,,,,,,,,,"L8(1), 12",,,,,,,,,,,,,,2022-12-29,2023-01-26
rwydirection.fid--4f6e8018_187234ca30b_-5196,56,56,MULTIPOINT ((-49.294538889 -8.344069444)),814,2017-07-20,5664,26,,,,-8.34406944,-49.29453889,WGE,,M,,,M,,,,,,191.84,,,,,,,,FT,,,,,FT,,,,,,,,,,,,,,,,,L12,,,,,,,,,,,,,,2022-12-29,2023-01-26
rwydirection.fid--4f6e8018_187234ca30b_-5195,57,57,MULTIPOINT ((0 0)),815,2016-11-10,3890,07,,,,0,0,WGE,,M,,,FT,,,,,,,,,,,,,,FT,,,,,FT,,,,,,,,,,,,,,,,,L12,,A,,,,,,,,,,,,2022-12-29,2023-01-26
rwydirection.fid--4f6e8018_187234ca30b_-5194,58,58,MULTIPOINT ((0 0)),816,2016-11-10,3890,25,,,,0,0,WGE,,M,,,FT,,,,,,,,,,,,,,FT,,,,,FT,,,,,,,,,,,,,,,,,L12,,A,,,,,,,,,,,,2022-12-29,2023-01-26
rwydirection.fid--4f6e8018_187234ca30b_-5193,59,59,MULTIPOINT ((0 0)),817,2016-11-10,201,14,,,,0,0,WGE,,M,,,FT,,,,,,,,,,,,,,FT,,,,,FT,,,,,,,,,,,,,,,,,L12,,A,,,,,,,,,,,,2022-12-29,2023-01-26
rwydirection.fid--4f6e8018_187234ca30b_-5192,60,60,MULTIPOINT ((0 0)),818,2016-11-10,201,32,,,,0,0,WGE,,M,,,FT,,,,,,,,,,,,,,FT,,,,,FT,,,,,,,,,,,,,,,,,L12,,A,,,,,,,,,,,,2022-12-29,2023-01-26
rwydirection.fid--4f6e8018_187234ca30b_-5191,61,61,MULTIPOINT ((0 0)),819,2017-01-05,5704,07,,,,0,0,WGE,,M,,,FT,,,,,,,,,,,,,,FT,,,,,FT,,,,,,,,,,,,,,,,,L12,,A,,,,,,,,,,,,2022-12-29,2023-01-26
rwydirection.fid--4f6e8018_187234ca30b_-5190,62,62,MULTIPOINT ((-51.180711111 -29.203413889)),431,2017-07-20,84,33,,,,-29.20341389,-51.18071111,WGE,,M,,,M,,,,,,747.15,,,,,,,,FT,,,,,FT,,,,,,,,,,,,,,,,,"L8 (2), 12",,,,,,,,,,,,,,2022-12-29,2023-01-26
