FID,gid,runway_pk,effectived,airport_pk,ident,runwayleng,width,codecondsf,surface,rwydesc,rwystrengt,descrstren,lenstrip,widstrip,lenoffset,widoffset,codests,txtprofile,txtmarking,txtrmk,txtrmk_lcl,rwydesc_lc,txtprofil1,txtmarkin1,valcrc,auwweight,codepcnmax,lcnclass,pcnclass,pcnevalmet,pcnnote,pcnpavemen,pcnpaveme1,preparatio,siwltirepr,siwlweight,uomauwweig,uomsiwltir,uomsiwlwei,valpcnmaxt,lengthoffs,lengthstri,nominallen,lengthaccu,widthoffse,widthstrip,nominalwid,widthaccur,type,abandoned,widthshoul,widthshou1,light_desc,bltype,lengthacc1,widthaccu1,codenumber,geom,emenda,emenda_futura
runway_v2.2753,2753,50,2016-05-26,39,09/27,1464,45,,ASPH,,PCN,,1584,150,,,,,,,,,,,,,X,,39,TECH,,B,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,"L14,15",,,,,"POLYGON ((-44.241863507242144 -2.5882254094763804, -44.230166285011116 -2.5839531864634697, -44.230028158968196 -2.58433570153218, -44.24172538073712 -2.58860792451926, -44.241863507242144 -2.5882254094763804))",2022-12-29,2023-01-26
runway_v2.2754,2754,16,2017-03-02,12,09/27,1500,45,,ASPH,,PCN,,1620,150,,,,,,,,,,,,,X,,71,TECH,,C,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,,,,,,"POLYGON ((-57.677607702179266 -19.0130126161997, -57.663893811917475 -19.00935428312235, -57.66377840994751 -19.009745716855498, -57.67749229768569 -19.01340404977815, -57.677607702179266 -19.0130126161997))",2022-12-29,2023-01-26
runway_v2.2755,2755,17,2012-01-20,13,10/28,2400,45,,ASPH,,PCN,,2520,300,,,,,,,,,,,,,X,,32,TECH,,A,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,"L14,15",,,,,"POLYGON ((-72.78038945026815 -7.59925238109913, -72.75867000624075 -7.60037460310961, -72.75869110576915 -7.600780952888229, -72.78041054974176 -7.59965873089871, -72.78038945026815 -7.59925238109913))",2022-12-29,2023-01-26
runway_v2.2760,2760,668,2018-04-26,645,13/31,1500,30,,CONC,,PCN,,,,,,,,,,,,,,,,W,,14,ACFT,,C,RIGID,,,,,,,,,M,M,,,M,M,,RWY,,,,,,,,,"POLYGON ((-69.42806419249071 -1.40081208158415, -69.41682530325161 -1.40834263759145, -69.41697469675556 -1.40856847440603, -69.42821358551642 -1.40103791841335, -69.42806419249071 -1.40081208158415))",2022-12-29,2023-01-26
runway_v2.2764,2764,215,2013-01-01,198,08/26,1300,30,,ASPH,,PCN,,,,,,,,,,,,,,,,Y,,13,,,C,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,,,,,,"POLYGON ((-44.48597936642161 -22.481155417366928, -44.475093251272725 -22.47521375128091, -44.474945636603486 -22.47544736068361, -44.48583174545455 -22.48138902659758, -44.48597936642161 -22.481155417366928))",2022-12-29,2023-01-26
runway_v2.2766,2766,636,2013-01-01,613,04/22,1665,18,,ASPH,,PCN,,,,,,,,,,,,,,,,Y,,12,TECH,,C,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,,,,,,"POLYGON ((-66.90178157492377 -4.8777245600421795, -66.89348990666554 -4.8651440050254395, -66.8933545373255 -4.8652337729676995, -66.90164620306723 -4.87781432795094, -66.90178157492377 -4.8777245600421795))",2022-12-29,2023-01-26
runway_v2.2767,2767,655,2013-01-01,632,05/23,1400,30,,ASPH,,PCN,5700Kg/0.50MPa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,M,,,M,M,,RWY,,,,,,,,,"POLYGON ((-47.34785076248808 -15.56151603423589, -47.341650755893575 -15.550410478170999, -47.341404800029814 -15.550539521760019, -47.34760479343526 -15.56164507769508, -47.34785076248808 -15.56151603423589))",2022-12-29,2023-01-26
runway_v2.2768,2768,657,2013-01-01,634,12/30,1450,30,,ASPH,,PCN,,,,,,,,,,,,,,,,X,,19,TECH,,A,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,,,,,,"POLYGON ((-50.695911258440134 -11.630381835674239, -50.68322792385342 -11.63434016870967, -50.68331096418489 -11.63459871928318, -50.69599429759817 -11.63064038631862, -50.695911258440134 -11.630381835674239))",2022-12-29,2023-01-26
runway_v2.2769,2769,2733,2017-09-14,3592,09/27,2042,45,,ASPH,,,,2441,300,,,,,,,,,,,,,X,,45,TECH,,B,FLEXIBLE,,,,,,,,,,M,,,,M,,RWY,,,,"L14, 15",,M,M,,"POLYGON ((-59.995834800312586 -3.14816916381078, -59.97800424510652 -3.14372749679394, -59.977906866875145 -3.14412250320304, -59.995737421669055 -3.1485641701861797, -59.995834800312586 -3.14816916381078))",2022-12-29,2023-01-26
runway_v2.2770,2770,2776,2018-01-04,3610,08/26,2525,45,,ASPH,,,,2645,300,,,,,,,,,,,,,X,,66,TECH,,B,FLEXIBLE,,,,,,,,,,M,,,,M,,RWY,,,,"L14, 15",,,M,,"POLYGON ((-43.18314664090293 -21.52004831502113, -43.16362718377119 -21.50640109275525, -43.16336725993947 -21.50672668514044, -43.18288669280751 -21.52037390687448, -43.18314664090293 -21.52004831502113))",2022-12-29,2023-01-26
runway_v2.2777,2777,5475,2017-09-14,5149,12/30,1540,30,,ASPH,,,,,,,,,,,,,,,,,,Y,,25,ACFT,,C,FLEXIBLE,,,,,,,,,,M,,,,M,,RWY,,,,,,M,M,,"POLYGON ((-50.672631336215574 -11.57052537080598, -50.65907855895916 -11.57320037083049, -50.65913255306633 -11.573466295165769, -50.672685329809894 -11.57079129519028, -50.672631336215574 -11.57052537080598))",2022-12-29,2023-01-26
runway_v2.2790,2790,5664,2017-09-14,5336,08/26,1800,30,,ASPH,,,,,,,,,,,,,,,,,,X,,47,ACFT,,C,FLEXIBLE,,,,,,,,,,M,,,,M,,RWY,,,,"L14, 15",,M,M,,"POLYGON ((-49.30850496275778 -8.35251242829987, -49.29461051719801 -8.343954094250162, -49.294467260759944 -8.34418479373623, -49.30836170320014 -8.35274312768651, -49.30850496275778 -8.35251242829987))",2022-12-29,2023-01-26
runway_v2.2794,2794,5720,2018-04-26,5391,08/26,2200,45,,ASPH,,,,,,,,,,,,,,,,,,W,,62,TECH,,B,FLEXIBLE,,,,,,,,,,M,,,,M,,RWY,,,,L14,,M,M,,"POLYGON ((-40.366292824356954 -2.9106649949217696, -40.34857060165533 -2.90181221689315, -40.3483905103158 -2.9021766710990597, -40.36611273161411 -2.9110294490704103, -40.366292824356954 -2.9106649949217696))",2022-12-29,2023-01-26
runway_v2.2803,2803,5797,2017-09-14,5468,13/31,1050,23,,EARTH,,PCN,5600Kg/0.50MPa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,M,,RWY,,,,,,M,M,,"POLYGON ((-38.912977432748384 -12.19889630027733, -38.89959132143926 -12.202149078301108, -38.89964201257991 -12.202350921695809, -38.91302812327078 -12.199098143719588, -38.912977432748384 -12.19889630027733))",2022-12-29,2023-01-26
runway_v2.2827,2827,270,2013-01-01,253,06/24,1500,45,,ASPH,,PCN,,,,,,,,,,,,,,,,X,,24,ACFT,,C,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,,,,,,"POLYGON ((-45.194064985776016 -18.22717352310089, -45.184273310161565 -18.21737074495757, -45.1839655775918 -18.21765147691691, -45.19375723597719 -18.227454254773527, -45.194064985776016 -18.22717352310089))",2022-12-29,2023-01-26
