FID,gid,runway_pk,effectived,airport_pk,ident,runwayleng,width,codecondsf,surface,rwydesc,rwystrengt,descrstren,lenstrip,widstrip,lenoffset,widoffset,codests,txtprofile,txtmarking,txtrmk,txtrmk_lcl,rwydesc_lc,txtprofil1,txtmarkin1,valcrc,auwweight,codepcnmax,lcnclass,pcnclass,pcnevalmet,pcnnote,pcnpavemen,pcnpaveme1,preparatio,siwltirepr,siwlweight,uomauwweig,uomsiwltir,uomsiwlwei,valpcnmaxt,lengthoffs,lengthstri,nominallen,lengthaccu,widthoffse,widthstrip,nominalwid,widthaccur,type,abandoned,widthshoul,widthshou1,light_desc,bltype,lengthacc1,widthaccu1,codenumber,geom,emenda,emenda_futura
runway_v2.3343,3343,123,2020-01-02,107,12/30,1625,30,,ASPH,,PCN,,1745,150,,,,,,,,,,,,,X,,35,TECH,,A,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,"L14,15",,M,M,,"POLYGON ((-54.177724035384585 -28.28098650733979, -54.16145458964469 -28.28374206339344, -54.161512076426696 -28.28400793659791, -54.17778152068678 -28.28125238065156, -54.177724035384585 -28.28098650733979))",2022-12-29,2023-01-26
runway_v2.3349,3349,56,2012-01-20,42,12/30,2150,32,,ASPH,,PCN,,2420,300,,,,,,,,,,,,,X,,33,,,D,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,"L14, 15",,,,,"POLYGON ((-69.94453663093012 -4.2515187166552595, -69.92696163029107 -4.259693716683099, -69.92708281372944 -4.25995628331168, -69.94465781309037 -4.251781283339519, -69.94453663093012 -4.2515187166552595))",2022-12-29,2023-01-26
runway_v2.3366,3366,617,2020-11-05,594,07/25,1200,30,,ASPH,,PCN,,1260,60,,,,,,,,,,,,,Y,,8,TECH,,A,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,"L14, 15",,,M,,"POLYGON ((-54.52603908437383 -27.90900590762426, -54.5153140809464 -27.9038586855353, -54.51516925289499 -27.904096870424578, -54.525894249467534 -27.909244092335616, -54.52603908437383 -27.90900590762426))",2022-12-29,2023-01-26
runway_v2.3384,3384,333,2020-12-03,316,11/29,1400,30,,ASPH,,PCN,5700kg/0.5Mpa,1520,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,M,,,M,M,,RWY,,,,"L14, 15",,,M,,"POLYGON ((-41.85341580749539 -11.34020088613533, -41.84062691846172 -11.339256442126699, -41.84060641552863 -11.3395268918717, -41.85339530449496 -11.340471335863059, -41.85341580749539 -11.34020088613533))",2022-12-29,2023-01-26
runway_v2.3400,3400,106,2020-08-13,90,15/33,1540,45,,ASPH,,PCN,,1660,280,,,,,,,,,,,,,W,,51,TECH,,A,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,"L14, 15",,,,,"POLYGON ((-48.80286737250224 -26.220230527976778, -48.79084791801187 -26.228933306168447, -48.791129860369985 -26.2292500276898, -48.803149293879436 -26.22054724988152, -48.80286737250224 -26.220230527976778))",2022-12-29,2023-01-26
runway_v2.3401,3401,93,2013-01-01,77,02/20,1551,30,,ASPH,,PCN,,,,,,,,,,,,,,,,Y,,15,,,C,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,"L14, 15",,,,,"POLYGON ((-46.79517015893031 -23.201420010721307, -46.79492292067293 -23.2154144557252, -46.79521596733188 -23.21541887813827, -46.795463175074495 -23.20142443314225, -46.79517015893031 -23.201420010721307))",2022-12-29,2023-01-26
runway_v2.3403,3403,3727,2020-12-03,3714,08/26,1800,30,,ASPH,,,,1920,280,,,,,,,,,,,,,X,,32,TECH,,A,FLEXIBLE,,,,,,,,,,M,,,,M,,RWY,,,,"L14, 15",,,M,,"POLYGON ((-48.60201380491954 -20.58794674801219, -48.58637769117675 -20.58104952591448, -48.58625564272567 -20.581294918062248, -48.60189175098284 -20.58819213996453, -48.60201380491954 -20.58794674801219))",2022-12-29,2023-01-26
runway_v2.3466,3466,148,2020-09-10,131,04/22,2100,30,,ASPH,,PCN,,,,,,,,,,,,,,,,Y,,26,TECH,,A,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,"L14, 15",,,,,"POLYGON ((-45.47784639722453 -21.600146014825437, -45.47059915877392 -21.58243768172254, -45.47032861913613 -21.5825345401673, -45.477575824685424 -21.6002428730643, -45.47784639722453 -21.600146014825437))",2022-12-29,2023-01-26
runway_v2.3469,3469,433,2020-09-10,415,13/31,1800,30,,ASPH,,PCN,,1860,60,,,,,,,,,,,,,X,,30,,,A,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,,,,M,,"POLYGON ((-36.02140960971544 -8.28012166456707, -36.00562349834959 -8.28428277559433, -36.00569316767346 -8.28454500240177, -36.0214792783076 -8.28038389142903, -36.02140960971544 -8.28012166456707))",2022-12-29,2023-01-26
runway_v2.3490,3490,474,2020-09-10,456,14/32,1200,30,,ASPH,,,,1260,60,,,,,,,,,,,,,Y,,14,ACFT,,B,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,L14,,M,M,,"POLYGON ((-40.86410797855634 -2.8929334104021898, -40.85438575531334 -2.89765563241239, -40.85450313269924 -2.8978999235842897, -40.86422535545622 -2.8931777015944897, -40.86410797855634 -2.8929334104021898))",2022-12-29,2023-01-26
runway_v2.3500,3500,77,2020-07-16,62,11/29,2059.7,45,,ASPH,,PCN,,,,,,,,,,,,,,,,X,,45,TECH,,B,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,"L14,15",,,,,"POLYGON ((-52.66903663131483 -27.132191121017538, -52.64851440839216 -27.13510501010079, -52.64858559173485 -27.135506101884438, -52.66910781281216 -27.132592212967698, -52.66903663131483 -27.132191121017538))",2022-12-29,2023-01-26
runway_v2.3501,3501,98,2020-07-16,82,05/23,2005.27,45,,ASPH,,PCN,,,,,,,,,,,,,,,,X,,33,TECH,,B,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,"L14,15,18",,,,,"POLYGON ((-42.4825456711523 -19.463008320106297, -42.492198430435145 -19.47863054192926, -42.49256823533164 -19.47842501388086, -42.4829154406147 -19.46280279170398, -42.4825456711523 -19.463008320106297))",2022-12-29,2023-01-26
runway_v2.3506,3506,138,2018-07-19,121,15/33,2200,45,,ASPH,,PCN,,2320,300,,,,,,,,,,,,,X,,29,,,C,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,"L14, 15",,,M,,"POLYGON ((-64.73058601716575 -3.3754745464437095, -64.71730268189782 -3.39021899148524, -64.71760287414429 -3.39049212049101, -64.73088620487617 -3.37574767553263, -64.73058601716575 -3.3754745464437095))",2022-12-29,2023-01-26
runway_v2.3507,3507,2788,2020-05-21,3595,10/28,2000,35,,ASPH,,,,,,,,,,,,,,,,,,X,,33,TECH,,A,FLEXIBLE,,,,,,,,,,M,,,,M,,RWY,,,,"L14, 15",,,,,"POLYGON ((-55.951617510929196 2.22363988486995, -55.93382584497042 2.22629266286431, -55.93377971103443 2.225979559135, -55.951571377075645 2.22332678112935, -55.951617510929196 2.22363988486995))",2022-12-29,2023-01-26
runway_v2.3512,3512,696,2020-07-16,673,07/25,1218,45,,ASPH,,PCN,,1338,80,,,,,,,,,,,,,X,,30,ACFT,,C,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,L14,,M,M,,"POLYGON ((-48.934144010056805 -16.367088835897277, -48.92025233781544 -16.3572499467444, -48.92000321797662 -16.35757783117941, -48.933894877735106 -16.36741672002648, -48.934144010056805 -16.367088835897277))",2022-12-29,2023-01-26
runway_v2.3523,3523,196,2020-10-08,179,09/27,1190,30,,ASPH,,PCN,,1310,80,,,,,,,,,,,,,X,,13,TECH,,A,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,"L14,15",,,,,"POLYGON ((-42.83397121698988 -22.920740086102168, -42.82659065933443 -22.91730397504984, -42.82645934054895 -22.91754602492117, -42.83383989489349 -22.92098213586883, -42.83397121698988 -22.920740086102168))",2022-12-29,2023-01-26
runway_v2.3529,3529,256,2020-12-03,239,06/24,1900,30,,ASPH,,PCN,,2020,300,,,,,,,,,,,,,Y,,11,TECH,,B,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,"L14, 15",,,M,,"POLYGON ((-52.17305782479334 -32.088002452314036, -52.16192725787703 -32.078349674169495, -52.161700519889024 -32.07853921372764, -52.172831062972605 -32.08819199158306, -52.17305782479334 -32.088002452314036))",2022-12-29,2023-01-26
runway_v2.3551,3551,572,2021-04-22,551,06/24,1267.13,30,,ASPH,,PCN,,,,,,,,,,,,,,,,Y,,16,TECH,,C,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,,,,,,"POLYGON ((-48.53516282110436 -25.54413195046732, -48.52463225816397 -25.53567361735028, -48.52443440766968 -25.53587638258151, -48.53496495672921 -25.544334715464448, -48.53516282110436 -25.54413195046732))",2022-12-29,2023-01-26
runway_v2.3552,3552,750,2021-04-22,726,02/20,2000,30,,ASPH,,PCN,FLEXIBLE,,,,,,,,,,,,,,,X,,40,TECH,,C,FLEXIBLE,,,,,,,,,,M,,,,M,,RWY,,,,"L14, 15",,M,,,"POLYGON ((-38.997905614572936 -15.36299190103844, -38.99975004726649 -15.3459057900601, -38.99947217475218 -15.34587754385335, -38.99762771944575 -15.362963654874909, -38.997905614572936 -15.36299190103844))",2022-12-29,2023-01-26
runway_v2.3596,3596,132,2021-04-22,116,11/29,2694,45,,CONC,,PCN,,,,,,,,,,,,,,,,X,,20,TECH,,B,RIGID,,,,,,,,,M,M,,,M,M,,RWY,,,,"L14,15",,,,,"POLYGON ((-53.70388860489981 -29.71034461799446, -53.67600804869148 -29.71182795203988, -53.67603639536543 -29.712233159952387, -53.70391695115709 -29.71074982599781, -53.70388860489981 -29.71034461799446))",2022-12-29,2023-01-26
runway_v2.3597,3597,133,2021-04-22,116,02/20,1505,30,,ASPH,,PCN,,,,,,,,,,,,,,,,Y,,10,,,C,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,L14,,,,,"POLYGON ((-53.68886598295931 -29.72140497735076, -53.68816040712463 -29.70782997733822, -53.68785070485654 -29.707842244480698, -53.688556239021835 -29.721417244468068, -53.68886598295931 -29.72140497735076))",2022-12-29,2023-01-26
runway_v2.3600,3600,94,2018-04-26,78,07/25,2003,30,,ASPH,,PCN,,2123,300,,,,,,,,,,,,,X,,36,TECH,,A,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,"L14, 15",,,M,,"POLYGON ((-52.24674468962973 -3.2476124527576897, -52.26094468871678 -3.25876245273401, -52.261110867265664 -3.25854865925888, -52.24691086635279 -3.24739865923522, -52.24674468962973 -3.2476124527576897))",2022-12-29,2023-01-26
runway_v2.3611,3611,534,2020-12-03,513,18/36,1280,23,,ASPH,,PCN,,1400,80,,,,,,,,,,,,,Y,,8,ACFT,,C,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,"L14, 15",,,M,,"POLYGON ((-53.8484690265532 -28.36316227004089, -53.844419015067714 -28.37414560409273, -53.84464209699958 -28.37420995181584, -53.84869208551406 -28.363226617867717, -53.8484690265532 -28.36316227004089))",2022-12-29,2023-01-26
runway_v2.3706,3706,13,2021-07-15,9,15/33,3240,45,,ASPH,,,,3360,280,,,,,,,,,,,,,X,,56,TECH,,B,FLEXIBLE,GROOVED,,,,,,,,M,M,,,M,M,,RWY,,,,"L14A, 15",,M,M,,"POLYGON ((-47.146868487123236 -22.99830597345864, -47.12186291340288 -23.0162115288218, -47.122131530915325 -23.016532915060978, -47.14713706919466 -22.99862736042424, -47.146868487123236 -22.99830597345864))",2022-12-29,2023-01-26
runway_v2.3755,3755,659,2021-02-25,636,09/27,1804,45,,ASPH,,PCN,,1924,150,,,,,,,,,,,,,X,,44,ACFT,,C,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,"L14, 15",,,M,,"POLYGON ((-48.2483338031295 -7.2300107641013, -48.23275046952288 -7.22531909706132, -48.23263286442675 -7.22570868092944, -48.2482161968201 -7.230400347889449, -48.2483338031295 -7.2300107641013))",2022-12-29,2023-01-26
runway_v2.3816,3816,8,2021-06-17,7,11L/29R,3200,45,,ASPH,,PCN,,3320,280,,,,,,,,,,,,,X,,76,TECH,,B,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,"L14, 15, 17",,,,,"POLYGON ((-47.92757506077014 -15.863369340321919, -47.89776672763798 -15.86144711828597, -47.89773882833412 -15.861852881709328, -47.92754716120195 -15.863775103673369, -47.92757506077014 -15.863369340321919))",2022-12-29,2023-01-26
runway_v2.3820,3820,644,2021-06-17,621,17/35,1630,18,,ASPH,,PCN,,1690,60,,,,,,,,,,,,,Y,,13,ACFT,,C,FLEXIBLE,,,,,,,,,,M,,M,,M,,RWY,,,,,,M,M,,"POLYGON ((-56.4037099854922 -14.370777883503308, -56.397165537657145 -14.382538994541768, -56.39731224036815 -14.38261656143536, -56.40385668053307 -14.370855450473838, -56.4037099854922 -14.370777883503308))",2022-12-29,2023-01-26
runway_v2.3838,3838,140,2020-04-23,123,02/20,1800,30,,ASPH,,PCN,,1920,80,,,,,,,,,,,,,X,,24,TECH,,B,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,,,M,M,,"POLYGON ((-50.65139395840764 -24.309692897664178, -50.65191893958738 -24.32593734165555, -50.65221439440331 -24.325929324200658, -50.65168937558306 -24.309684880192137, -50.65139395840764 -24.309692897664178))",2022-12-29,2023-01-26
runway_v2.3842,3842,2,2021-09-09,2,06/24,1500,30,,CONC,,PCN,,1620,280,,,,,,,,,,,,,Y,,18,TECH,,A,RIGID,,,,,,,,,M,M,,,M,M,,RWY,,,,"L14, 15",,,,,"POLYGON ((-54.117853538762596 -31.39509674518072, -54.10646186194045 -31.385735634037946, -54.10624369383369 -31.38593103186776, -54.11763534901144 -31.39529214272496, -54.117853538762596 -31.39509674518072))",2022-12-29,2023-01-26
runway_v2.3843,3843,12,2021-09-09,8,10/28,2550,45,,ASPH,,PCN,,2670,280,,,,,,,,,,,,,X,,76,TECH,,C,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,"L14,15",,,,,"POLYGON ((-42.08310435750307 -22.92348746089752, -42.06053213398702 -22.918998571785277, -42.0604400878788 -22.919395872196407, -42.08301230836272 -22.923884761084167, -42.08310435750307 -22.92348746089752))",2022-12-29,2023-01-26
runway_v2.3866,3866,101,2019-05-23,85,18/36,1400,30,,ASPH,,PCN,,,,,,,,,,,,,,,,X,,21,TECH,,A,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,L14,,,,,"POLYGON ((-46.94651251811075 -23.17489953241436, -46.941137506476245 -23.186521754492908, -46.94140693763037 -23.18662824539143, -46.946781925995815 -23.17500602347004, -46.94651251811075 -23.17489953241436))",2022-12-29,2023-01-26
runway_v2.3947,3947,48,2021-08-12,37,10/28,2400,45,,ASPH,,PCN,,2520,280,,,,,,,,,,,,,W,,48,TECH,,A,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,"L14,15",,,,,"POLYGON ((-54.80349081858578 -2.4239519391332096, -54.78217137450266 -2.42046305012284, -54.78210640348777 -2.42086472787578, -54.80342584740464 -2.4243536168654103, -54.80349081858578 -2.4239519391332096))",2022-12-29,2023-01-26
runway_v2.3955,3955,124,2021-07-15,108,03/21,1500,30,,ASPH,,PCN,,,,,,,,,,,,,,,,Y,,10,,,B,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,"L14, 15",,,,,"POLYGON ((-51.7986406564496 3.84761045127731, -51.795940658503916 3.8609021182688, -51.79567600750447 3.8608478817105096, -51.79837600955876 3.84755621470207, -51.7986406564496 3.84761045127731))",2022-12-29,2023-01-26
runway_v2.4063,4063,748,2021-10-07,724,02R/20L,3000,45,,ASPH,,PCN,FLEXIBLE,,,,,,,,,,,,,,,X,,57,TECH,,A,FLEXIBLE,,,,,,,,,,M,,,,M,,RWY,,,,"L14, 15",,M,M,,"POLYGON ((-48.405128636087454 -21.778403405904637, -48.40561470626724 -21.75131451691599, -48.405179737743005 -21.75130770479821, -48.40469358592279 -21.77839659380916, -48.405128636087454 -21.778403405904637))",2022-12-29,2023-01-26
runway_v2.4088,4088,5338,2021-11-04,5013,05/23,1700,30,,ASPH,,,,1820,280,,,,,,,,,,,,,X,,31,TECH,,B,FLEXIBLE,,,,,,,,,,M,,,,M,,RWY,,,,"L14, 15",,M,M,,"POLYGON ((-55.67603252930254 -12.48563279659674, -55.66860196800147 -12.472110574532328, -55.66835914393852 -12.47223942541275, -55.675789692637366 -12.48576164734828, -55.67603252930254 -12.48563279659674))",2022-12-29,2023-01-26
runway_v2.4099,4099,318,2021-11-04,301,14/32,1600,33,,ASPH,,PCN,,1660,60,,,,,,,,,,,,,X,,45,ACFT,,C,FLEXIBLE,,,,,,,,M,M,M,,M,M,M,,RWY,,,M,,,M,M,,"POLYGON ((-51.95849549735682 -6.6375620757665095, -51.94592327428617 -6.64473429780393, -51.94607116975253 -6.6449934801843495, -51.958643390681836 -6.6378212582217895, -51.95849549735682 -6.6375620757665095))",2022-12-29,2023-01-26
runway_v2.4111,4111,120,2021-12-02,104,05/23,1900,30,,ASPH,,PCN,,2020,150,,,,,,,,,,,,,X,,31,TECH,,B,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,"L14, 15",,M,M,,"POLYGON ((-37.368047666188566 -5.2101288722253205, -37.36043377401327 -5.19372887219565, -37.36018844796459 -5.193843349780409, -37.367802333789214 -5.21024334975067, -37.368047666188566 -5.2101288722253205))",2022-12-29,2023-01-26
runway_v2.4128,4128,45,2019-11-07,35,15/33,3180,47,,ASPH,,PCN,,3300,280,,,,,,,,,,,,,X,,73,TECH,,B,FLEXIBLE,,,,,,,,M,M,M,,M,M,M,,RWY,,,,"L14A,15",,M,M,,"POLYGON ((-43.262536411037296 -22.81293842207894, -43.23930861910052 -22.828313422411927, -43.23957471523515 -22.828658799473207, -43.26280247729809 -22.81328379980629, -43.262536411037296 -22.81293842207894))",2022-12-29,2023-01-26
runway_v2.4132,4132,20,2020-08-13,16,14/32,2400,45,,ASPH,,PCN,,2520,280,,,,,,,,,,,,,X,,78,TECH,,A,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,"L14A,15",,,,,"POLYGON ((-48.55109018351431 -27.66554577649308, -48.53028183844589 -27.67676522177436, -48.53051816192783 -27.67711255612051, -48.551326482859174 -27.665893111401832, -48.55109018351431 -27.66554577649308))",2022-12-29,2023-01-26
runway_v2.4143,4143,41,2022-02-24,33,02L/20R,1260,30,,ASPH,,PCN,,1380,150,,,,,,,,,,,,,X,,39,TECH,,B,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,"L14,15",,M,M,,"POLYGON ((-43.16336262552843 -22.915974747178907, -43.16409316840546 -22.904649747190458, -43.16380127561183 -22.90463358667547, -43.16307070848887 -22.91595858668695, -43.16336262552843 -22.915974747178907))",2022-12-29,2023-01-26
runway_v2.4185,4185,1129,2022-02-24,1105,08/26,1550,24,,ASPH,,PCN,,,,,,,,,,,,,,,,X,,13,TECH,,B,FLEXIBLE,,,,,,,,,,M,,,,M,,RWY,,,,"L14,15",,M,M,,"POLYGON ((-51.27163335126409 -20.82108757042558, -51.262022237726235 -20.8150681253623, -51.2618944281977 -20.81524854061293, -51.27150553665981 -20.82126798554964, -51.27163335126409 -20.82108757042558))",2022-12-29,2023-01-26
runway_v2.4187,4187,619,2020-10-08,596,08/26,1430,30,,ASPH,,PCN,,1550,140,,,,,,,,,,,,,X,,33,ACFT,,C,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,"L14, 15",,,,,"POLYGON ((-50.14995216675463 -25.18770644033101, -50.13777160652085 -25.180984218225827, -50.13761728133333 -25.181215781732107, -50.14979783309949 -25.18793800362692, -50.14995216675463 -25.18770644033101))",2022-12-29,2023-01-26
runway_v2.4188,4188,614,2022-02-24,591,15/33,1050,25,,EARTH,,PCN,,1170,80,,,,,,,,,,,,,Y,,8,ACFT,,C,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,,,,,,"POLYGON ((-52.86823129933784 -27.977160429411146, -52.860545182994166 -27.98373265148878, -52.86072148313794 -27.98389512645375, -52.86840758879423 -27.9773229045314, -52.86823129933784 -27.977160429411146))",2022-12-29,2023-01-26
runway_v2.4190,4190,130,2022-02-24,114,09/27,868.21,18,,ASPH,,PCN,,,,,,,,,,,,,,,,Y,,10,ACFT,,C,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,,,,,,"POLYGON ((-43.99325146982693 -19.91123793038958, -43.98565249714658 -19.90809443036329, -43.98558361482116 -19.90824340362941, -43.993182586140804 -19.91138690360311, -43.99325146982693 -19.91123793038958))",2022-12-29,2023-01-26
runway_v2.4191,4191,42,2022-02-24,33,02R/20L,1323,42,,ASPH,,PCN,,1443,276,,,,,,,,,,,,,W,,65,TECH,,A,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,"L14,15",,M,,,"POLYGON ((-43.162643228801095 -22.916533580255056, -43.163415432933924 -22.90461135827218, -43.163006789100095 -22.90458864146508, -43.162234549232934 -22.91651086348204, -43.162643228801095 -22.916533580255056))",2022-12-29,2023-01-26
runway_v2.4192,4192,103,2022-02-24,87,03/21,1800,45,,ASPH,,PCN,,1920,280,,,,,,,,,,,,,X,,30,ACFT,,C,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,"L14,15",,M,M,,"POLYGON ((-61.84907359397208 -10.8785549947891, -61.844756916587585 -10.86285221773481, -61.844359749341905 -10.86295889413678, -61.848676405957306 -10.8786616710823, -61.84907359397208 -10.8785549947891))",2022-12-29,2023-01-26
runway_v2.4193,4193,4,2022-02-24,14,17/35,2300,45,,ASPH,,PCN,,2420,280,,,,,,,,,,,,,X,,56,TECH,,B,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,3.3,M,"L14, 15",,,,,"POLYGON ((-56.12139399956878 -15.64364856662939, -56.11157175981469 -15.662126343786019, -56.11194490635423 -15.66231254405427, -56.121767112599926 -15.64383476721109, -56.12139399956878 -15.64364856662939))",2022-12-29,2023-01-26
runway_v2.4194,4194,52,2022-02-24,40,17R/35L,1940,45,,ASPH,,PCN,,2060,280,,,,,,(6)(15),,,,,,,X,,50,TECH,,B,FLEXIBLE,GROOVED,,,,,,,,M,M,,,M,M,,RWY,,7.5,M,"COMP L14A,15",,,,,"POLYGON ((-46.660239076274465 -23.620840799006498, -46.65100016842513 -23.6341935771943, -46.65137205388327 -23.63441197858128, -46.66061092403372 -23.62105920076921, -46.660239076274465 -23.620840799006498))",2022-12-29,2023-01-26
runway_v2.4195,4195,53,2022-02-24,40,17L/35R,1495,45,,ASPH,,PCN,,1615,150,,,,,,,,,,,,,X,,38,ACFT,,B,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,4.5,M,"L14,15",,,,,"POLYGON ((-46.657808501236715 -23.620682493850417, -46.65024459779842 -23.631618605004178, -46.6506165145099 -23.63183695077138, -46.658180387071404 -23.62090083992525, -46.657808501236715 -23.620682493850417))",2022-12-29,2023-01-26
runway_v2.4196,4196,59,2022-02-24,44,06/24,1750,45,,ASPH,,PCN,,1870,280,,,,,,,,,,,,,X,,45,TECH,,B,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,"L14, 15",,,,,"POLYGON ((-40.2913384823494 -20.26443161617064, -40.28249679962106 -20.25100383800659, -40.282130978127725 -20.251218383801337, -40.29097262939918 -20.26464616163715, -40.2913384823494 -20.26443161617064))",2022-12-29,2023-01-26
runway_v2.4197,4197,25,2022-02-24,20,12/30,2602,45,,ASPH,,PCN,,2722,280,,,,,,,,,,,,,X,,46,TECH,,A,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,7.5,M,"L14, 15",,M,M,,"POLYGON ((-35.80327583890252 -9.50843899935202, -35.780986949440425 -9.512619554399759, -35.781063050603755 -9.51301933359381, -35.80335193914165 -9.508838778641548, -35.80327583890252 -9.50843899935202))",2022-12-29,2023-01-26
runway_v2.4198,4198,32,2022-02-24,25,14/32,2500,45,,ASPH,,PCN,,2620,280,,,,,,,,,,,,,X,,48,TECH,,B,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,7.5,M,"L14, 15",,M,,,"POLYGON ((-48.36639758214223 -10.285130478292679, -48.347378133676976 -10.297622145423158, -48.34760520044428 -10.29796118853523, -48.36662463997887 -10.285469521665759, -48.36639758214223 -10.285130478292679))",2022-12-29,2023-01-26
runway_v2.4199,4199,35,2022-02-24,27,04/22,2000,45,,ASPH,,PCN,,2120,150,,,,,,,,,,,,,Y,,40,TECH,,C,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,7.5,M,"L14, 15",,,,,"POLYGON ((-55.70617482877411 -22.55804949185599, -55.69948035967843 -22.541091158708678, -55.6990696401146 -22.54123106302859, -55.70576405901873 -22.55818939588107, -55.70617482877411 -22.55804949185599))",2022-12-29,2023-01-26
runway_v2.4200,4200,654,2022-02-24,631,11/29,799,30,,ASPH,,SIWL,,859,60,,,,,,,,,,,,,,,,,,,,,0.5,5700,,MPA,KG,,,M,M,,,M,M,,RWY,,,,,,M,M,,"POLYGON ((-60.02525118667326 -3.07219378483693, -60.01803729765086 -3.07333822883981, -60.01807936835438 -3.07360621515944, -60.02529325733198 -3.0724617711623097, -60.02525118667326 -3.07219378483693))",2022-12-29,2023-01-26
runway_v2.4224,4224,10,2022-05-19,5,16/34,3600,45,,ASPH,,PCN,,3720,300,,,,,,,,,,,,,W,,75,TECH,,B,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,7.5,M,"L14A, 15, 18",,,,,"POLYGON ((-43.97801640316606 -19.62338831958903, -43.95541082273498 -19.647843875952407, -43.955733621532744 -19.64811167990075, -43.97833915310126 -19.62365612426433, -43.97801640316606 -19.62338831958903))",2022-12-29,2023-01-26
runway_v2.4226,4226,165,2022-06-16,148,11/29,1500,30,,ASPH,,PCN,,1620,80,,,,,,,,,,,,,Y,,12,TECH,,B,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,"L14, 15",,,M,,"POLYGON ((-51.39012594242429 -20.924825698651517, -51.3752342754106 -20.92527292065861, -51.37524350259768 -20.92554374533911, -51.39013516958399 -20.9250965233462, -51.39012594242429 -20.924825698651517))",2022-12-29,2023-01-26
runway_v2.4228,4228,27,2022-05-19,22,11/29,2700,45,,ASPH,,PCN,,2820,300,,,,,,,,,,,,,X,,71,TECH,,C,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,7.5,M,"L14A, 15, 18",,M,M,,"POLYGON ((-60.061849560388765 -3.0383604120895003, -60.03755233838875 -3.0384131900897002, -60.037553217611396 -3.03882014390954, -60.061850439611376 -3.0387673659097403, -60.061849560388765 -3.0383604120895003))",2022-12-29,2023-01-26
runway_v2.4229,4229,38,2022-05-19,30,01/19,2400,45,,ASPH,,PCN,,2520,300,,,,,,,,,,,,,X,,41,TECH,,B,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,4,M,"L14, 15, 18",,,,,"POLYGON ((-63.90186244349516 -8.72012037299484, -63.90315409874302 -8.69844259600867, -63.902745901269995 -8.69841851588192, -63.901454222517884 -8.72009629289548, -63.90186244349516 -8.72012037299484))",2022-12-29,2023-01-26
